oai-ue-rfsimu-1-1  |     Ul harq: 8634/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 13.0)
oai-du-rfsim-1     | UE 1e55: LCID 1: TX            534 RX            306 bytes
oai-du-rfsim-1     | UE 1e55: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE 1e55: LCID 4: TX             18 RX            384 bytes
oai-du-rfsim-1     | UE RNTI c589 CU-UE-ID 2 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE c589: dlsch_rounds 880/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE c589: ulsch_rounds 8628/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE c589: MAC:    TX         108303 RX         997576 bytes
oai-du-rfsim-1     | UE c589: LCID 1: TX            534 RX            302 bytes
oai-du-rfsim-1     | UE c589: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE c589: LCID 4: TX             18 RX            384 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 961129.317084 [NR_MAC] I Frame.Slot 384.0
oai-du-rfsim-1     | UE RNTI 1e55 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE 1e55: dlsch_rounds 881/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE 1e55: ulsch_rounds 8646/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 384.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 384.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE 1e55: MAC:    TX         108426 RX         999271 bytes
oai-ue-rfsimu-1-1  |     DL harq: 882/0
oai-ue-rfsimu-2-1  |     DL harq: 881/0
oai-du-rfsim-1     | UE 1e55: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 8647/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 13.0)
oai-ue-rfsimu-2-1  |     Ul harq: 8642/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 13.0)
oai-du-rfsim-1     | UE 1e55: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE 1e55: LCID 4: TX             18 RX            384 bytes
oai-du-rfsim-1     | UE RNTI c589 CU-UE-ID 2 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE c589: dlsch_rounds 881/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE c589: ulsch_rounds 8641/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE c589: MAC:    TX         108426 RX         999084 bytes
oai-du-rfsim-1     | UE c589: LCID 1: TX            534 RX            302 bytes
oai-du-rfsim-1     | UE c589: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE c589: LCID 4: TX             18 RX            384 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 961129.822100 [NR_MAC] I Frame.Slot 512.0
oai-du-rfsim-1     | UE RNTI 1e55 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE 1e55: dlsch_rounds 883/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 512.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 512.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE 1e55: ulsch_rounds 8658/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  |     DL harq: 883/0
oai-ue-rfsimu-2-1  |     DL harq: 883/0
oai-du-rfsim-1     | UE 1e55: MAC:    TX         108672 RX        1000663 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 8660/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 13.0)
oai-ue-rfsimu-2-1  |     Ul harq: 8655/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 13.0)
oai-du-rfsim-1     | UE 1e55: LCID 1: TX            534 RX            306 bytes
oai-du-rfsim-1     | UE 1e55: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE 1e55: LCID 4: TX             18 RX            384 bytes
oai-du-rfsim-1     | UE RNTI c589 CU-UE-ID 2 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE c589: dlsch_rounds 883/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE c589: ulsch_rounds 8654/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE c589: MAC:    TX         108672 RX        1000592 bytes
oai-du-rfsim-1     | UE c589: LCID 1: TX            534 RX            302 bytes
oai-du-rfsim-1     | UE c589: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE c589: LCID 4: TX             18 RX            384 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 961130.255917 [NR_MAC] I Frame.Slot 640.0
oai-du-rfsim-1     | UE RNTI 1e55 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE 1e55: dlsch_rounds 884/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 640.8, cumulated bad DCI 0
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 640.8, cumulated bad DCI 0
