Timestamp,Crash Line,Source File,Total Count
2025-06-17 11:59:35,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2548: e2ap_dec_e42_subscription_delete_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_115935_20250617_115901.log,279
2025-06-17 11:59:35,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:544: e2ap_dec_e42_subscription_request: Assertion `sub_det->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_115935_20250617_115901.log,131
2025-06-17 12:01:10,In capture_sst_sd() /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:168,oran-orchestration-oai-du-rfsim-1_20250617_120110_20250617_120030.log,35
2025-06-17 12:02:44,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2540: e2ap_dec_e42_subscription_delete_request: Assertion `sub_req->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_120244_20250617_120204.log,267
2025-06-17 12:04:59,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:487: e2ap_dec_e42_subscription_request: Assertion `node_src->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_120459_20250617_120418.log,148
2025-06-17 12:06:33,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2523: e2ap_dec_e42_subscription_delete_request: Assertion `pdu->choice.initiatingMessage->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_120633_20250617_120553.log,257
2025-06-17 12:07:27,"nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2677: e2ap_get_msg_type: Assertion `0 != 0 && ""unhandled message""' failed.",oran-orchestration-nearRT-RIC-1_20250617_120727_20250617_120713.log,173
2025-06-17 12:08:46,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:527: e2ap_dec_e42_subscription_request: Assertion `sub_req->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_120846_20250617_120812.log,149
2025-06-17 12:11:09,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:536: e2ap_dec_e42_subscription_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_121109_20250617_121035.log,155
2025-06-17 12:13:38,"nearRT-RIC: /flexric/src/ric/msg_handler_ric.c:117: e2ap_handle_subscription_response_ric: Assertion `resp->admitted[0].ric_act_id == 0 && ""No other case implemented""' failed.",oran-orchestration-nearRT-RIC-1_20250617_121338_20250617_121258.log,231
2025-06-17 12:13:38,"nr-cuup: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-cu-up-1_20250617_121338_20250617_121258.log,161
2025-06-17 12:17:35,In capture_sst_sd() /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:177,oran-orchestration-oai-du-rfsim-1_20250617_121735_20250617_121721.log,141
2025-06-17 12:19:50,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2531: e2ap_dec_e42_subscription_delete_request: Assertion `xapp_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_121950_20250617_121910.log,263
2025-06-17 12:20:38,"nearRT-RIC: /flexric/src/ric/map_e2_node_sockaddr.c:154: find_map_e2_node_sad: Assertion `it != end && ""E2 Node not found in the tree""' failed.",oran-orchestration-nearRT-RIC-1_20250617_122038_20250617_122024.log,211
2025-06-17 12:23:47,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:230: filter_ues_by_s_nssai_in_cuup: Assertion `*test_info.test_cond == EQUAL_TEST_COND && ""Currently support EQUAL test condition""' failed.",oran-orchestration-oai-cu-up-1_20250617_122347_20250617_122307.log,135
2025-06-17 12:24:41,"nr-softmodem: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm_subs.c:226: get_kpm_meas_value: Assertion `found_entry != NULL && ""Unsupported KPM measurement name""' failed.",oran-orchestration-oai-du-rfsim-1_20250617_122441_20250617_122401.log,111
2025-06-17 12:44:49,"nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2256: e2ap_dec_connection_update: Assertion `0!=0 && ""Not implemented""' failed.",oran-orchestration-nearRT-RIC-1_20250617_124449_20250617_124409.log,3
