
oai-du-rfsim-1     | 1805712.548277 [NR_MAC] I Frame.Slot 640.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 144/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 640.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1292/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 640.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  |     DL harq: 145/0
oai-du-rfsim-1     | UE bd28: MAC:    TX          17724 RX         147115 bytes
oai-ue-rfsimu-1-1  |     DL harq: 144/0
oai-ue-rfsimu-2-1  |     Ul harq: 1286/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 1293/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 145/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1282/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          17847 RX         145618 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 1805713.066355 [NR_MAC] I Frame.Slot 768.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 145/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1305/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 768.8, cumulated bad DCI 0
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 768.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: MAC:    TX          17847 RX         148623 bytes
oai-ue-rfsimu-2-1  |     DL harq: 146/0
oai-ue-rfsimu-1-1  |     DL harq: 145/0
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-2-1  |     Ul harq: 1298/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-ue-rfsimu-1-1  |     Ul harq: 1306/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 146/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1295/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          17970 RX         147126 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
nearRT-RIC-1       | nearRT-RIC: /flexric/src/ric/iApp/msg_handler_iapp.c:343: e2ap_handle_e42_ric_subscription_request_iapp: Assertion `valid_global_e2_node(iapp, &e42_sr->id )' failed.
nearRT-RIC-1 exited with code 139
oai-du-rfsim-1     | 1805713.589467 [NR_MAC] I Frame.Slot 896.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 146/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1317/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 896.8, cumulated bad DCI 0
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 896.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: MAC:    TX          17970 RX         150015 bytes
oai-ue-rfsimu-2-1  |     DL harq: 147/0
oai-ue-rfsimu-1-1  |     DL harq: 146/0
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-2-1  |     Ul harq: 1311/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-ue-rfsimu-1-1  |     Ul harq: 1319/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 147/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
