oai-du-rfsim-1     | UE 3efe: ulsch_rounds 109749/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE 3efe: MAC:    TX        1352448 RX       12726231 bytes
oai-du-rfsim-1     | UE 3efe: LCID 1: TX            534 RX            306 bytes
oai-du-rfsim-1     | UE 3efe: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE 3efe: LCID 4: TX             30 RX            660 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 2070500.570324 [NR_MAC] I Frame.Slot 768.0
oai-du-rfsim-1     | UE RNTI 42d1 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE 42d1: dlsch_rounds 10996/1/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE 42d1: ulsch_rounds 109765/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE 42d1: MAC:    TX        1352571 RX       12727719 bytes
oai-du-rfsim-1     | UE 42d1: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 768.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 768.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE 42d1: LCID 2: TX              0 RX              0 bytes
oai-ue-rfsimu-1-1  |     DL harq: 10996/1
oai-ue-rfsimu-2-1  |     DL harq: 10996/0
oai-du-rfsim-1     | UE 42d1: LCID 4: TX             30 RX            660 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 109766/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 13.0)
oai-ue-rfsimu-2-1  |     Ul harq: 109763/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 13.0)
oai-du-rfsim-1     | UE RNTI 3efe CU-UE-ID 2 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
